data/mcs-instances/mcs50/rand/r01/mcs50_r01_s15.A79 data/mcs-instances/mcs50/rand/r01/mcs50_r01_s15.B79,265,32,12
data/mcs-instances/mcs90/bvg/b06/mcs90_b06_s15.A81 data/mcs-instances/mcs90/bvg/b06/mcs90_b06_s15.B81,49,0,14
data/mcs-instances/mcs70/bvg/b03m/mcs70_b03m_s10.A10 data/mcs-instances/mcs70/bvg/b03m/mcs70_b03m_s10.B10,78,0,8
data/mcs-instances/mcs90/rand/r01/mcs90_r01_s20.A53 data/mcs-instances/mcs90/rand/r01/mcs90_r01_s20.B53,71,6,18
data/mcs-instances/mcs90/m2D/m2Dr4/mcs90_m2Dr4_s10.A39 data/mcs-instances/mcs90/m2D/m2Dr4/mcs90_m2Dr4_s10.B39,27,0,9
data/mcs-instances/mcs70/rand/r02/mcs70_r02_s10.A79 data/mcs-instances/mcs70/rand/r02/mcs70_r02_s10.B79,58,0,8
data/mcs-instances/mcs50/bvg/b09/mcs50_b09_s20.A39 data/mcs-instances/mcs50/bvg/b09/mcs50_b09_s20.B39,1982,423,14
data/mcs-instances/mcs30/bvg/b03/mcs30_b03_s20.A06 data/mcs-instances/mcs30/bvg/b03/mcs30_b03_s20.B06,1059,527,15
data/mcs-instances/mcs50/m2D/m2D/mcs50_m2D_s20.A42 data/mcs-instances/mcs50/m2D/m2D/mcs50_m2D_s20.B42,1267,822,15
data/mcs-instances/mcs10/rand/r02/mcs10_r02_s20.A26 data/mcs-instances/mcs10/rand/r02/mcs10_r02_s20.B26,5635,897,12
data/mcs-instances/mcs90/rand/r02/mcs90_r02_s40.A93 data/mcs-instances/mcs90/rand/r02/mcs90_r02_s40.B93,1865,3865,36
data/mcs-instances/mcs70/rand/r02/mcs70_r02_s25.A61 data/mcs-instances/mcs70/rand/r02/mcs70_r02_s25.B61,8249,5784,17
data/mcs-instances/mcs50/bvg/b09/mcs50_b09_s25.A77 data/mcs-instances/mcs50/bvg/b09/mcs50_b09_s25.B77,12740,8932,15
data/mcs-instances/mcs50/bvg/b09m/mcs50_b09m_s25.A61 data/mcs-instances/mcs50/bvg/b09m/mcs50_b09m_s25.B61,15266,10473,14
data/mcs-instances/mcs70/m4D/m4Dr6/mcs70_m4Dr6_s25.A09 data/mcs-instances/mcs70/m4D/m4Dr6/mcs70_m4Dr6_s25.B09,4987,10902,17
data/mcs-instances/mcs30/bvg/b06m/mcs30_b06m_s25.A39 data/mcs-instances/mcs30/bvg/b06m/mcs30_b06m_s25.B39,8469,12128,16
data/mcs-instances/mcs50/rand/r01/mcs50_r01_s20.A22 data/mcs-instances/mcs50/rand/r01/mcs50_r01_s20.B22,2079,1371,14
data/mcs-instances/mcs30/m3D/m3Dr6/mcs30_m3Dr6_s25.A76 data/mcs-instances/mcs30/m3D/m3Dr6/mcs30_m3Dr6_s25.B76,8719,18221,16
data/mcs-instances/mcs90/bvg/b06m/mcs90_b06m_s10.A90 data/mcs-instances/mcs90/bvg/b06m/mcs90_b06m_s10.B90,17,0,9
data/mcs-instances/mcs70/bvg/b09/mcs70_b09_s30.A17 data/mcs-instances/mcs70/bvg/b09/mcs70_b09_s30.B17,16027,23128,20
data/mcs-instances/mcs90/bvg/b03m/mcs90_b03m_s20.A32 data/mcs-instances/mcs90/bvg/b03m/mcs90_b03m_s20.B32,158,79,18
data/mcs-instances/mcs30/rand/r02/mcs30_r02_s20.A50 data/mcs-instances/mcs30/rand/r02/mcs30_r02_s20.B50,5380,845,12
data/mcs-instances/mcs50/m3D/m3Dr6/mcs50_m3Dr6_s15.A48 data/mcs-instances/mcs50/m3D/m3Dr6/mcs50_m3Dr6_s15.B48,1208,74,10
data/mcs-instances/mcs90/rand/r02/mcs90_r02_s50.A08 data/mcs-instances/mcs90/rand/r02/mcs90_r02_s50.B08,4422,7480,45
data/mcs-instances/mcs70/bvg/b06m/mcs70_b06m_s30.A15 data/mcs-instances/mcs70/bvg/b06m/mcs70_b06m_s30.B15,9385,45186,21
data/mcs-instances/mcs70/rand/r01/mcs70_r01_s25.A66 data/mcs-instances/mcs70/rand/r01/mcs70_r01_s25.B66,5689,13045,17
data/mcs-instances/mcs90/bvg/b03/mcs90_b03_s30.A06 data/mcs-instances/mcs90/bvg/b03/mcs90_b03_s30.B06,674,90680,27
data/mcs-instances/mcs50/m3D/m3Dr2/mcs50_m3Dr2_s15.A21 data/mcs-instances/mcs50/m3D/m3Dr2/mcs50_m3Dr2_s15.B21,685,57,11
data/mcs-instances/mcs50/m3D/m3Dr4/mcs50_m3Dr4_s15.A02 data/mcs-instances/mcs50/m3D/m3Dr4/mcs50_m3Dr4_s15.B02,1104,71,10
data/mcs-instances/mcs70/rand/r02/mcs70_r02_s25.A33 data/mcs-instances/mcs70/rand/r02/mcs70_r02_s25.B33,8044,3291,17
data/mcs-instances/mcs50/m4D/m4Dr4/mcs50_m4Dr4_s30.A29 data/mcs-instances/mcs50/m4D/m4Dr4/mcs50_m4Dr4_s30.B29,9609,152660,21
data/mcs-instances/mcs70/rand/r02/mcs70_r02_s40.A82 data/mcs-instances/mcs70/rand/r02/mcs70_r02_s40.B82,40308,147971,28
data/mcs-instances/mcs30/bvg/b06m/mcs30_b06m_s30.A88 data/mcs-instances/mcs30/bvg/b06m/mcs30_b06m_s30.B88,17803,216431,19
data/mcs-instances/mcs30/bvg/b06m/mcs30_b06m_s30.A97 data/mcs-instances/mcs30/bvg/b06m/mcs30_b06m_s30.B97,20806,261145,19
data/mcs-instances/mcs50/m2D/m2Dr6/mcs50_m2Dr6_s30.A55 data/mcs-instances/mcs50/m2D/m2Dr6/mcs50_m2Dr6_s30.B55,15075,261362,20
data/mcs-instances/mcs10/rand/r02/mcs10_r02_s20.A53 data/mcs-instances/mcs10/rand/r02/mcs10_r02_s20.B53,5781,1064,12
data/mcs-instances/mcs90/bvg/b09/mcs90_b09_s60.A17 data/mcs-instances/mcs90/bvg/b09/mcs90_b09_s60.B17,3405,158049,54
data/mcs-instances/mcs50/m2D/m2D/mcs50_m2D_s30.A62 data/mcs-instances/mcs50/m2D/m2D/mcs50_m2D_s30.B62,5200,601553,23
data/mcs-instances/mcs70/bvg/b09/mcs70_b09_s40.A29 data/mcs-instances/mcs70/bvg/b09/mcs70_b09_s40.B29,30879,693554,28
data/mcs-instances/mcs90/rand/r01/mcs90_r01_s35.A90 data/mcs-instances/mcs90/rand/r01/mcs90_r01_s35.B90,6588,708007,31
